index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
178,local,127,0.1,64,1,256,256,16,145214.0,97.5928704,0.00088343112539768,0.0011535902777778,1
179,local,128,100.0,256,1,256,256,16,2490035.0,5497.9913824,0.94381249579516,0.0013523858024691,0
180,local,128,100.0,256,1,256,256,16,2478028.0,5471.4773664,0.94401270044703,0.0013169996141975,1
181,local,129,0.1,256,1,256,256,16,145207.0,320.482368,0.0008834706359544,0.0011556408179012,0
182,local,129,0.1,256,1,256,256,16,145259.0,320.5958112,0.00075188125091574,0.0011527291666666999,1
183,local,130,100.0,1024,1,256,256,16,2535893.0,21179.6294688,0.78418495660085,0.0016022002314815,0
184,local,130,100.0,1024,1,256,256,16,2473984.0,20662.5770976,0.78951866444254,0.0015621894290123,1
185,local,131,0.1,1024,1,256,256,16,145297.0,1212.8095488,0.00013212521341321,0.0011636087962963,0
186,local,131,0.1,1024,1,256,256,16,145343.0,1213.1844096,,0.0011631485339506,1
187,local,132,100.0,64,3,256,256,16,3222016.0,2165.1954976,0.94052530915102,0.01668680632716,0
188,local,132,100.0,64,3,256,256,16,3221683.0,2164.971696,0.94036510418396,0.022449505787037,1
189,local,133,0.1,64,3,256,256,16,145343.0,97.6800544,,0.0011183722993827001,0
190,local,134,100.0,256,3,256,256,16,3211596.0,7091.1957984,0.92732438355171,0.026278941358025,0
191,local,134,100.0,256,3,256,256,16,3216332.0,7101.6525984,0.92731260521717,0.026439155864198,1
192,local,135,0.1,256,3,256,256,16,145329.0,320.7518208,0.00013209603381659,0.0011202044753086,0
193,local,135,0.1,256,3,256,256,16,140506.0,310.1079552,0.03343807956678,0.0011207449845679,1
194,local,136,100.0,1024,3,256,256,16,3287577.0,27457.6289376,0.72018635327733,0.016886549382716,0
195,local,136,100.0,1024,3,256,256,16,3280896.0,27401.8280064,0.72083976137671,0.016467393904321,1
196,local,138,100.0,64,6,256,256,16,3615641.0,2429.7116832,0.93326823646812,0.011177659722222,0
197,local,138,100.0,64,6,256,256,16,3605161.0,2422.6691808,0.93330115170279,0.0040235524691358,1
198,local,140,100.0,256,6,256,256,16,3460070.0,7639.82752,0.92190090453726,0.0071028707561728,0
199,local,140,100.0,256,6,256,256,16,3500162.0,7728.3476352,0.92091120961978,0.013459466820988,1
200,local,142,100.0,1024,6,256,256,16,3050393.0,25476.7048576,0.74043268371452,0.009882271990740701,0
201,local,142,100.0,1024,6,256,256,16,3065779.0,25605.1990368,0.73915004710442,0.0099324444444444,1
202,local,144,100.0,64,1,1024,256,16,2680182.0,1801.083232,0.95094538839732,0.0018251157407406999,0
203,local,144,100.0,64,1,1024,256,16,2697113.0,1812.4606752,0.9505403445158,,1
204,local,145,0.1,64,1,1024,256,16,145190.0,97.576992,0.00099562941393416,0.0011516149691358,0
205,local,145,0.1,64,1,1024,256,16,145226.0,97.6008576,0.0010153150228102,0.0011528599537037,1
206,local,146,100.0,256,1,1024,256,16,2657689.0,5868.1717248,0.9378932627104,0.0016983885030864001,0
207,local,146,100.0,256,1,1024,256,16,2697318.0,5955.6693792,0.93683220884987,0.0015951049382716001,1
208,local,147,0.1,256,1,1024,256,16,145233.0,320.5392864,0.0010166348423735,0.0011539903549383,0
209,local,147,0.1,256,1,1024,256,16,145207.0,320.482368,0.0010601149134297,0.0011533314043210001,1
210,local,148,100.0,1024,1,1024,256,16,2636288.0,22018.101712,0.77015449588266,0.0019647577160494,0
211,local,148,100.0,1024,1,1024,256,16,2672332.0,22319.1324288,0.76698747124197,0.0019405891203704,1
212,local,149,0.1,1024,1,1024,256,16,145303.0,1212.8623872,0.0001321201219634,0.0011646666666666999,0
