index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
233,GPU Communication List version,10,100.0,1024,4,0,6911651.0,57725.6598816,0.38201286018096,0.008754902777777799,1
234,GPU Communication List version,11,0.1,1024,4,0,145291.0,1212.7567104,0.00013213030525538,0.0020424490740741,0
235,GPU Communication List version,12,100.0,64,16,0,3813052.0,2562.3713824,0.92988512252929,0.0087405115740741,0
236,GPU Communication List version,13,0.1,64,16,0,86315.0,58.0097184,0.40609701472512,0.17953301427469,0
237,GPU Communication List version,15,0.1,256,16,0,91206.0,201.2991168,0.37247078606538,0.058069510416667,0
238,GPU Communication List version,16,100.0,1024,16,0,3626414.0,30287.6254368,0.68431757045807,0.0060612750771605,0
239,GPU Communication List version,18,100.0,64,1,3,35430.0,23.8092288,0.99937026684024,,0
240,GPU Communication List version,18,100.0,64,1,3,36659.0,24.6352672,0.99934429655372,,1
241,GPU Communication List version,19,0.1,64,1,3,16665.0,11.2002336,0.88535515577104,2.7458712006173,0
242,GPU Communication List version,19,0.1,64,1,3,15827.0,10.6367232,0.891127412405,2.7477432673610998,1
243,GPU Communication List version,20,100.0,256,1,3,38026.0,83.9615488,0.99914415166833,,0
244,GPU Communication List version,20,100.0,256,1,3,37169.0,82.0693056,0.99916355527436,,1
245,GPU Communication List version,21,0.1,256,1,3,17268.0,38.114016,0.88118157197981,2.7027188846451002,0
246,GPU Communication List version,21,0.1,256,1,3,16832.0,37.14936,0.88421110560784,2.514417505787,1
247,GPU Communication List version,22,100.0,1024,1,3,40345.0,336.9634176,0.99656384279186,,0
248,GPU Communication List version,22,100.0,1024,1,3,40057.0,334.5612288,0.99658924102392,,1
249,GPU Communication List version,23,0.1,1024,1,3,17446.0,145.6266336,0.87994288368572,2.0501448217593,0
250,GPU Communication List version,23,0.1,1024,1,3,17036.0,142.2094464,0.8827971073516,2.4483117349537,1
251,GPU Communication List version,24,100.0,64,4,3,31539.0,21.1946368,0.99943546625134,,0
252,GPU Communication List version,24,100.0,64,4,3,31536.0,21.1922592,0.99943460597842,,1
253,GPU Communication List version,25,0.1,64,4,3,4952.0,3.3282912,0.96592210215731,6.6643334953704,0
254,GPU Communication List version,25,0.1,64,4,3,4752.0,3.1940928,0.96730372327252,4.663159673225301,1
255,GPU Communication List version,26,100.0,256,4,3,32652.0,72.0969408,0.99926515152045,,0
256,GPU Communication List version,26,100.0,256,4,3,32777.0,72.3726528,0.99926241920255,,1
257,GPU Communication List version,27,0.1,256,4,3,4840.0,10.682544,0.96670225764197,5.7679143445216,0
258,GPU Communication List version,27,0.1,256,4,3,4800.0,10.5971424,0.96697321423658,6.741068945216,1
259,GPU Communication List version,28,100.0,1024,4,3,32973.0,275.389264,0.99719231901603,,0
260,GPU Communication List version,28,100.0,1024,4,3,31779.0,265.4234496,0.99729418092194,,1
261,GPU Communication List version,29,0.1,1024,4,3,4784.0,39.9329184,0.96707775322834,4.7724883387345995,0
262,GPU Communication List version,29,0.1,1024,4,3,4810.0,40.1605344,0.96690134255156,6.711204049382699,1
263,GPU Communication List version,30,100.0,64,16,3,14357.0,9.6481824,0.99974332363911,,0
264,GPU Communication List version,31,0.1,64,16,3,3932.0,2.6427264,0.97294658736356,5.3305259965278005,0
265,GPU Communication List version,32,100.0,256,16,3,13134.0,29.0012736,0.99970454384692,,0
266,GPU Communication List version,33,0.1,256,16,3,3973.0,8.7704448,0.97266371087149,4.678460007716,0
267,GPU Communication List version,35,0.1,1024,16,3,4109.0,34.2973632,0.97172565497909,4.713443373842599,0
268,GPU Communication List version,36,100.0,64,1,5,297.0,0.1999872,0.99999470059945,,0
269,GPU Communication List version,36,100.0,64,1,5,297.0,0.1999872,0.99999466388046,,1
270,GPU Communication List version,37,0.1,64,1,5,306.0,0.2061696,0.99788902955909,,0
271,GPU Communication List version,37,0.1,64,1,5,306.0,0.2061792,0.99788922562513,,1
272,GPU Communication List version,38,100.0,256,1,5,303.0,0.6697504,0.99999317678733,,0
273,GPU Communication List version,38,100.0,256,1,5,303.0,0.6694656,0.99999318037976,,1
274,GPU Communication List version,39,0.1,256,1,5,312.0,0.6907392,0.9978469734116,,0
275,GPU Communication List version,39,0.1,256,1,5,312.0,0.6907392,0.99784735408239,,1
276,GPU Communication List version,40,100.0,1024,1,5,302.0,2.5298208,0.99997422527003,,0
